Split,Image Path,Chart Type,Reasoning Type,Claim,True Verdict,Predicted Verdict,Verdict Match,True Rationale,Predicted Rationale
Test 1,local_images/TOILET_MEAL_SOCIAL_RESERCH.jpg,pie_chart,unknown,Only 12.08% of respondents have eaten in a public bathroom.,SUPPORTED,SUPPORTED,True,"The chart shows that out of the 2459 valid responses in the survey, only 12.08% answered 'yes'.","The pie chart shows that 12.08% of respondents answered ""Yes"" to having eaten at home or in a public bathroom."
Test 1,local_images/Citations_to_Q-Chem_as_of_2011.png,barchart_vertical,unknown,"In 2010 and 2011, number of citations to Q-Chem is in the lowest place in this chart.",REFUTED,REFUTED,True,"In 2010 and 2011, number of citations to Q-Chem is above 200 and that is in the first place in this chart.","The bar for 2010 and 2011 are the tallest on the chart, indicating the highest number of citations."
Test 1,local_images/Enwp-importance-views-2014-05.png,unknown,unknown,The low importance category has the highest density in May 2014.,SUPPORTED,REFUTED,False,All other curves in the graph are below the low importance category curve.,"The density curve for the ""Low"" category is the most prominent among all categories on the graph."
Test 1,local_images/Chart_1_-_WLM-ZA-2012.png,pie_chart,unknown,Total cost has exceeded 55% overall.,SUPPORTED,SUPPORTED,True,In the chart provided. Total cost expenditures is at a percentage of 56.7%. Taking it over the 55% mark.,"The pie chart shows that the ""Total Costs"" section occupies 56.7% of the chart."
Test 1,local_images/Recent_changes_on_selected_wiktionaries_in_30_d.png,unknown,unknown,The second highest amount of recent wiktionary changes were done in Russian.,REFUTED,REFUTED,True,The second biggest piece of the pie chart is red and is represented by French.,"The chart shows that the second largest segment represents 16523 changes, which corresponds to ru."
Test 1,local_images/Dongducheon-landuse-chart.png,pie_chart,unknown,More land is used for urban planning than military facilities.,SUPPORTED,SUPPORTED,True,The urban planning section is red and larger than the military facilities section which is yellow.,The chart shows that the urban planning area occupies 32.96 square km while the military facilities preserving area covers 22.99 square km.
Test 1,local_images/Signpost_poll_19_(reader_poll).png,pie_chart,unknown,Mailing lists are the most popular way to stay informed about Wikimedia Tech news.,REFUTED,REFUTED,True,"The chart shows that 12 respondents chose the Signpost as their preferred method of staying up to date with Wikimedia Tech news, while only 3 respondents chose the combination of Signpost, blogs and mailing lists. This indicates that Signpost is the most popular way to keep up to date with Wikimedia Tech news, so the claim that mailing lists are the most popular way to stay informed about Wikimedia Tech news is false.","The largest segment of the pie chart represents ""Just the Signpost"" at 63%, which is higher than any other category."
Test 1,local_images/458LottBulletVelocity03.png,barchart_horizontal,unknown,The chart compares the weight of .458 Lott bullets to their velocity.,SUPPORTED,SUPPORTED,True,"The x-axis shows the weight of the bullet in grains, while the y-axis shows the velocity in feet per second.","The x-axis is labeled ""Bullet Velocity (ft/s)"" and the y-axis is labeled ""Bullet Weight (gr.)"", indicating that the chart shows the relationship between bullet weight and velocity."
Test 1,local_images/GFImg16.png,line_chart,unknown,The enthalpy value for CH4 is less than the enthalpy value for SO2 at a temperature of 3200 K.,REFUTED,SUPPORTED,False,"Based on the enthalpy chart, the enthalpy value on the pink line for SO2 at 3200 K temperature is at a lower point than the enthalpy value on the gray line for CH4 at 3200 K temperature. This confirms that SO2 has less enthalpy than CH4 at 3200 K temperature.","At 3200 K, the enthalpy value for CH4 is approximately 10,000 kJ/kg, while the enthalpy value for SO2 is around -5,000 kJ/kg."
Test 1,local_images/Guardian_Counted_2015.png,barchart_vertical,unknown,The majority of those killed by law enforcement officers in the US in 2015 were white.,REFUTED,REFUTED,True,"The claim is FALSE. The chart does not show the racial breakdown of those killed by law enforcement officers in 2015, so no conclusions can be made about the majority or minority of any racial group being killed.",The chart does not provide any information about the race of the individuals killed by law enforcement officers in 2015.
